Id,Name
592,Live And Let Die: Special Edition
593,Living Out Loud: Platinum Edition
594,Local Hero
595,Logan's Run: Special Edition
596,Lolita
597,Lone Star
598,Lonely Guy
599,Long Kiss Goodnight
600,Lord Of Illusions: Special Edition
601,Lost And Found
602,Lost Boys
603,Lost In Space: The Movie: Platinum Edition
604,Love And Death On Long Island
605,Love Jones
606,Lovesick
607,Mad City
608,Mad Max Beyond Thunderdome
609,Made In America
610,Madigan
611,Madonna: Ciao Italia: Live From Italy
612,Madonna: The Girlie Show: Live Down Under
613,Madonna: The Video Collection 1992-1999
614,Magnificent Seven
615,Major League 2
616,Major League 3: Back To The Minors
617,Major Payne
618,Malcolm X
619,Mallrats: Collector's Edition
620,Maltese Falcon
621,Barenaked Ladies: Too Little Too Late DVD Single
622,Casino Lights '99: Montreux Jazz Festival
623,Dream Theater: Metropolis 2000: Scenes From New York (Special Edition)
624,Static-X: Where The Hell Are We And What Day Is It: This Is Static-X
625,Strauss: New Year's Concert 2001: Nikolaus Harnoncourt (DVD-Audio)
626,Vivaldi: The Four Season
627,Alice (1990)
628,Another Woman
629,Antitrust (Special Edition)
630,Apartment
631,Barefoot Contessa
632,Beach Blanket Bingo
633,Crimes And Misdemeanors
634,Donovan's Brain
635,Dr. Goldfoot And The Bikini Machine
636,Entertainer
637,Fall Of The House Of Usher (Special Edition/ 1960)
638,Hope And Glory
639,Kiss Me Deadly
640,Madness Of King George
641,Marty
642,Misfits
643,Moby Dick (1956)
644,Pit And The Pendulum (Special Edition/ 1961)
645,Platoon (Special Edition)
646,Rembrandt
647,Salvador (Special Edition)
648,September
649,Shadows And Fog
650,Something Wild
651,Sweet Smell Of Success
652,Thing With Two Heads
653,Tom Jones
654,Village Of The Giants
655,Woody Allen Collection 1987-1992
656,X: The Man With The X-Ray Eyes (Special Edition)
657,Gummo
658,Julien Donkey Boy
659,Bridges Of Toko-Ri
660,Catch 22 (Special Edition)
661,Donovan's Reef
662,Hell Is For Heroes
663,In Harm's Way
664,Kill Shot
665,Man Who Shot Liberty Valance
666,Sons Of Katie Elder
667,Star Trek TV #23: A Private Little War/ The Gamesters Of Triskelion
668,Star Trek TV #24: Obsession/ The Immunity Syndrome
669,Sunshine
670,Uncommon Valor
671,Jaws 2
672,Fugitive (Special Edition)
673,Serpent's Kiss
674,What Women Want (Special Edition)
675,Gormenghast
676,Charlotte's Web
677,Shadow Of The Vampire (Special Edition)
678,Two Family House
679,Blue Planet: IMAX
680,Cartoon Crack-Ups
681,Dream Is Alive: IMAX
682,V: The Original Miniseries (Special Edition)
683,2001: A Space Odyssey
684,Barry Lyndon
685,Before Night Falls (Special Edition)
686,Best In Show
